image_path,nom_fichier,region,texte_ocr,confiance_ocr,categorie,raison,score,dest_path
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_24_IMG_7712.JPG,2023_02_02_10_24_IMG_7712.JPG,Ashanti Region,4HO861-22,0.7554,CONFORME,format_valide_ocr_confiant,0.7554,data/processed/sorted_plates\conformes\4HO861_22_2023_02_02_10_24_IMG_7712.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_32_IMG_7719.JPG,2023_02_02_10_32_IMG_7719.JPG,Ashanti Region,JAN,0.0006,ILLISIBLE,confiance_ocr_trop_faible,0.0006,data/processed/sorted_plates\illisibles\JAN_2023_02_02_10_32_IMG_7719.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_32_IMG_7720.JPG,2023_02_02_10_32_IMG_7720.JPG,Ashanti Region,8040-22,0.4959,DOUTEUSE,format_invalide_sans_mixte,0.4959,data/processed/sorted_plates\douteuses\8040_22_2023_02_02_10_32_IMG_7720.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_32_IMG_7721.JPG,2023_02_02_10_32_IMG_7721.JPG,Ashanti Region,ASO8620-22,0.7672,CONFORME,format_valide_ocr_confiant,0.7672,data/processed/sorted_plates\conformes\ASO8620_22_2023_02_02_10_32_IMG_7721.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_34_IMG_7727.JPG,2023_02_02_10_34_IMG_7727.JPG,Ashanti Region,42O2021,0.5625,DOUTEUSE,confiance_ocr_moyenne,0.5625,data/processed/sorted_plates\douteuses\42O2021_2023_02_02_10_34_IMG_7727.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_34_IMG_7728.JPG,2023_02_02_10_34_IMG_7728.JPG,Ashanti Region,MTHO,0.0263,ILLISIBLE,confiance_ocr_trop_faible,0.0263,data/processed/sorted_plates\illisibles\MTHO_2023_02_02_10_34_IMG_7728.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_00_IMG_7402.JPG,2023_02_02_04_00_IMG_7402.JPG,Brong Ahafo Region,433,1.0,DOUTEUSE,texte_trop_court,1.0,data/processed/sorted_plates\douteuses\433_2023_02_02_04_00_IMG_7402.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_00_IMG_7403.JPG,2023_02_02_04_00_IMG_7403.JPG,Brong Ahafo Region,433,1.0,DOUTEUSE,texte_trop_court,1.0,data/processed/sorted_plates\douteuses\433_2023_02_02_04_00_IMG_7403.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_00_IMG_7404.JPG,2023_02_02_04_00_IMG_7404.JPG,Brong Ahafo Region,433-,0.9974,DOUTEUSE,format_invalide_sans_mixte,0.9974,data/processed/sorted_plates\douteuses\433__2023_02_02_04_00_IMG_7404.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_01_IMG_7413.JPG,2023_02_02_04_01_IMG_7413.JPG,Brong Ahafo Region,4483,0.8904,DOUTEUSE,format_invalide_sans_mixte,0.8904,data/processed/sorted_plates\douteuses\4483_2023_02_02_04_01_IMG_7413.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_01_IMG_7414.JPG,2023_02_02_04_01_IMG_7414.JPG,Brong Ahafo Region,289922,0.4953,DOUTEUSE,format_invalide_sans_mixte,0.4953,data/processed/sorted_plates\douteuses\289922_2023_02_02_04_01_IMG_7414.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_04_IMG_7428.JPG,2023_02_02_04_04_IMG_7428.JPG,Brong Ahafo Region,107,1.0,DOUTEUSE,texte_trop_court,1.0,data/processed/sorted_plates\douteuses\107_2023_02_02_04_04_IMG_7428.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_04_IMG_7429.JPG,2023_02_02_04_04_IMG_7429.JPG,Brong Ahafo Region,107,1.0,DOUTEUSE,texte_trop_court,1.0,data/processed/sorted_plates\douteuses\107_2023_02_02_04_04_IMG_7429.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_04_IMG_7430.JPG,2023_02_02_04_04_IMG_7430.JPG,Brong Ahafo Region,220,0.9996,DOUTEUSE,texte_trop_court,0.9996,data/processed/sorted_plates\douteuses\220_2023_02_02_04_04_IMG_7430.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_05_IMG_7431.JPG,2023_02_02_04_05_IMG_7431.JPG,Brong Ahafo Region,527,0.9937,DOUTEUSE,texte_trop_court,0.9937,data/processed/sorted_plates\douteuses\527_2023_02_02_04_05_IMG_7431.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_04_05_IMG_7432.JPG,2023_02_02_04_05_IMG_7432.JPG,Brong Ahafo Region,527-18,0.9999,DOUTEUSE,format_invalide_sans_mixte,0.9999,data/processed/sorted_plates\douteuses\527_18_2023_02_02_04_05_IMG_7432.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_25_IMG_7716.JPG,2023_02_02_10_25_IMG_7716.JPG,Brong Ahafo Region,382,0.9987,DOUTEUSE,texte_trop_court,0.9987,data/processed/sorted_plates\douteuses\382_2023_02_02_10_25_IMG_7716.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_25_IMG_7717.JPG,2023_02_02_10_25_IMG_7717.JPG,Brong Ahafo Region,382,0.9848,DOUTEUSE,texte_trop_court,0.9848,data/processed/sorted_plates\douteuses\382_2023_02_02_10_25_IMG_7717.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_33_IMG_7724.JPG,2023_02_02_10_33_IMG_7724.JPG,Brong Ahafo Region,,0.0,ILLISIBLE,OCR_echec_texte_vide,0.0,data/processed/sorted_plates\illisibles\INCONNU_2023_02_02_10_33_IMG_7724.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_33_IMG_7725.JPG,2023_02_02_10_33_IMG_7725.JPG,Brong Ahafo Region,403-20,0.9979,DOUTEUSE,format_invalide_sans_mixte,0.9979,data/processed/sorted_plates\douteuses\403_20_2023_02_02_10_33_IMG_7725.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_33_IMG_7726.JPG,2023_02_02_10_33_IMG_7726.JPG,Brong Ahafo Region,403-20,0.9961,DOUTEUSE,format_invalide_sans_mixte,0.9961,data/processed/sorted_plates\douteuses\403_20_2023_02_02_10_33_IMG_7726.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_36_IMG_7743.JPG,2023_02_02_10_36_IMG_7743.JPG,Brong Ahafo Region,470-18,0.9145,DOUTEUSE,format_invalide_sans_mixte,0.9145,data/processed/sorted_plates\douteuses\470_18_2023_02_02_10_36_IMG_7743.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_40_IMG_7752.JPG,2023_02_02_10_40_IMG_7752.JPG,Brong Ahafo Region,L88-16,0.9498,CONFORME,format_valide_ocr_confiant,0.9498,data/processed/sorted_plates\conformes\L88_16_2023_02_02_10_40_IMG_7752.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_49_IMG_7761.JPG,2023_02_02_10_49_IMG_7761.JPG,Brong Ahafo Region,BAC148-20,0.5042,DOUTEUSE,confiance_ocr_moyenne,0.5042,data/processed/sorted_plates\douteuses\BAC148_20_2023_02_02_10_49_IMG_7761.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_10_49_IMG_7762.JPG,2023_02_02_10_49_IMG_7762.JPG,Brong Ahafo Region,148,0.9992,DOUTEUSE,texte_trop_court,0.9992,data/processed/sorted_plates\douteuses\148_2023_02_02_10_49_IMG_7762.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Brong Ahafo Region\2023_02_02_12_30_IMG_7769.JPG,2023_02_02_12_30_IMG_7769.JPG,Brong Ahafo Region,BAM,0.1397,ILLISIBLE,confiance_ocr_trop_faible,0.1397,data/processed/sorted_plates\illisibles\BAM_2023_02_02_12_30_IMG_7769.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_04_12_20_IMG_8189.JPG,2023_02_04_12_20_IMG_8189.JPG,Central Region,713-22,0.9262,DOUTEUSE,format_invalide_sans_mixte,0.9262,data/processed/sorted_plates\douteuses\713_22_2023_02_04_12_20_IMG_8189.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_04_12_21_IMG_8193.JPG,2023_02_04_12_21_IMG_8193.JPG,Central Region,93-19,0.9998,DOUTEUSE,format_invalide_sans_mixte,0.9998,data/processed/sorted_plates\douteuses\93_19_2023_02_04_12_21_IMG_8193.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_05_07_58_IMG_8926.JPG,2023_02_05_07_58_IMG_8926.JPG,Central Region,667-13,0.9987,DOUTEUSE,format_invalide_sans_mixte,0.9987,data/processed/sorted_plates\douteuses\667_13_2023_02_05_07_58_IMG_8926.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_06_00_33_IMG_9060.JPG,2023_02_06_00_33_IMG_9060.JPG,Central Region,1053,0.9916,DOUTEUSE,format_invalide_sans_mixte,0.9916,data/processed/sorted_plates\douteuses\1053_2023_02_06_00_33_IMG_9060.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_06_08_33_IMG_9060.JPG,2023_02_06_08_33_IMG_9060.JPG,Central Region,1053,0.9916,DOUTEUSE,format_invalide_sans_mixte,0.9916,data/processed/sorted_plates\douteuses\1053_2023_02_06_08_33_IMG_9060.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_07_03_31_IMG_9587.JPG,2023_02_07_03_31_IMG_9587.JPG,Central Region,105-,0.9932,DOUTEUSE,format_invalide_sans_mixte,0.9932,data/processed/sorted_plates\douteuses\105__2023_02_07_03_31_IMG_9587.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_07_03_34_IMG_9485.JPG,2023_02_07_03_34_IMG_9485.JPG,Central Region,842,0.997,DOUTEUSE,texte_trop_court,0.997,data/processed/sorted_plates\douteuses\842_2023_02_07_03_34_IMG_9485.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_07_03_39_IMG_9267.JPG,2023_02_07_03_39_IMG_9267.JPG,Central Region,635-14,0.7571,DOUTEUSE,format_invalide_sans_mixte,0.7571,data/processed/sorted_plates\douteuses\635_14_2023_02_07_03_39_IMG_9267.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_07_08_34_IMG_9660.JPG,2023_02_07_08_34_IMG_9660.JPG,Central Region,1085-19,1.0,DOUTEUSE,format_invalide_sans_mixte,1.0,data/processed/sorted_plates\douteuses\1085_19_2023_02_07_08_34_IMG_9660.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_08_04_04_IMG_0050.JPG,2023_02_08_04_04_IMG_0050.JPG,Central Region,102416,0.4493,DOUTEUSE,format_invalide_sans_mixte,0.4493,data/processed/sorted_plates\douteuses\102416_2023_02_08_04_04_IMG_0050.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_08_04_06_IMG_9784.JPG,2023_02_08_04_06_IMG_9784.JPG,Central Region,853,0.9999,DOUTEUSE,texte_trop_court,0.9999,data/processed/sorted_plates\douteuses\853_2023_02_08_04_06_IMG_9784.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_08_04_08_IMG_9896.JPG,2023_02_08_04_08_IMG_9896.JPG,Central Region,864,0.9983,DOUTEUSE,texte_trop_court,0.9983,data/processed/sorted_plates\douteuses\864_2023_02_08_04_08_IMG_9896.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_08_04_08_IMG_9899.JPG,2023_02_08_04_08_IMG_9899.JPG,Central Region,885-02,0.8082,DOUTEUSE,format_invalide_sans_mixte,0.8082,data/processed/sorted_plates\douteuses\885_02_2023_02_08_04_08_IMG_9899.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_10_05_25_IMG_0763.JPG,2023_02_10_05_25_IMG_0763.JPG,Central Region,884-22,0.9937,DOUTEUSE,format_invalide_sans_mixte,0.9937,data/processed/sorted_plates\douteuses\884_22_2023_02_10_05_25_IMG_0763.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_10_05_34_IMG_0565.JPG,2023_02_10_05_34_IMG_0565.JPG,Central Region,052,0.0572,ILLISIBLE,confiance_ocr_trop_faible,0.0572,data/processed/sorted_plates\illisibles\052_2023_02_10_05_34_IMG_0565.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_11_03_15_IMG_1193.JPG,2023_02_11_03_15_IMG_1193.JPG,Central Region,218-,0.9995,DOUTEUSE,format_invalide_sans_mixte,0.9995,data/processed/sorted_plates\douteuses\218__2023_02_11_03_15_IMG_1193.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_11_03_15_IMG_1201.JPG,2023_02_11_03_15_IMG_1201.JPG,Central Region,UCT,0.0022,ILLISIBLE,confiance_ocr_trop_faible,0.0022,data/processed/sorted_plates\illisibles\UCT_2023_02_11_03_15_IMG_1201.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_11_03_16_IMG_1132.JPG,2023_02_11_03_16_IMG_1132.JPG,Central Region,,0.0,ILLISIBLE,OCR_echec_texte_vide,0.0,data/processed/sorted_plates\illisibles\INCONNU_2023_02_11_03_16_IMG_1132.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_11_13_47_IMG_1355.JPG,2023_02_11_13_47_IMG_1355.JPG,Central Region,RR10B,0.072,ILLISIBLE,confiance_ocr_trop_faible,0.072,data/processed/sorted_plates\illisibles\RR10B_2023_02_11_13_47_IMG_1355.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Central Region\2023_02_17_05_15_IMG_2142.JPG,2023_02_17_05_15_IMG_2142.JPG,Central Region,11063-17,0.9782,DOUTEUSE,format_invalide_sans_mixte,0.9782,data/processed/sorted_plates\douteuses\11063_17_2023_02_17_05_15_IMG_2142.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0719.JPG,2022_05_22_16_49_IMG_0719.JPG,DV,,0.0,ILLISIBLE,OCR_echec_texte_vide,0.0,data/processed/sorted_plates\illisibles\INCONNU_2022_05_22_16_49_IMG_0719.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0720.JPG,2022_05_22_16_49_IMG_0720.JPG,DV,GOC,0.9677,DOUTEUSE,texte_trop_court,0.9677,data/processed/sorted_plates\douteuses\GOC_2022_05_22_16_49_IMG_0720.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0721.JPG,2022_05_22_16_49_IMG_0721.JPG,DV,384,0.9012,DOUTEUSE,texte_trop_court,0.9012,data/processed/sorted_plates\douteuses\384_2022_05_22_16_49_IMG_0721.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0722.JPG,2022_05_22_16_49_IMG_0722.JPG,DV,JORDZ,0.215,ILLISIBLE,confiance_ocr_trop_faible,0.215,data/processed/sorted_plates\illisibles\JORDZ_2022_05_22_16_49_IMG_0722.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0723.JPG,2022_05_22_16_49_IMG_0723.JPG,DV,MYE384C83,0.1394,ILLISIBLE,confiance_ocr_trop_faible,0.1394,data/processed/sorted_plates\illisibles\MYE384C83_2022_05_22_16_49_IMG_0723.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0724.JPG,2022_05_22_16_49_IMG_0724.JPG,DV,,0.0,ILLISIBLE,OCR_echec_texte_vide,0.0,data/processed/sorted_plates\illisibles\INCONNU_2022_05_22_16_49_IMG_0724.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_05_22_16_49_IMG_0725.JPG,2022_05_22_16_49_IMG_0725.JPG,DV,,0.0,ILLISIBLE,OCR_echec_texte_vide,0.0,data/processed/sorted_plates\illisibles\INCONNU_2022_05_22_16_49_IMG_0725.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2022_08_15_10_37_IMG_4713.PNG,2022_08_15_10_37_IMG_4713.PNG,DV,REPLY,1.0,DOUTEUSE,format_invalide_sans_mixte,1.0,data/processed/sorted_plates\douteuses\REPLY_2022_08_15_10_37_IMG_4713.PNG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2023_02_02_04_24_IMG_7521.JPG,2023_02_02_04_24_IMG_7521.JPG,DV,PVELBL,0.313,DOUTEUSE,format_invalide_sans_mixte,0.313,data/processed/sorted_plates\douteuses\PVELBL_2023_02_02_04_24_IMG_7521.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2023_02_02_04_24_IMG_7524.JPG,2023_02_02_04_24_IMG_7524.JPG,DV,DVI47B,0.1496,ILLISIBLE,confiance_ocr_trop_faible,0.1496,data/processed/sorted_plates\illisibles\DVI47B_2023_02_02_04_24_IMG_7524.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\DV\2023_02_02_04_24_IMG_7525.JPG,2023_02_02_04_24_IMG_7525.JPG,DV,TUKSON,0.2665,ILLISIBLE,confiance_ocr_trop_faible,0.2665,data/processed/sorted_plates\illisibles\TUKSON_2023_02_02_04_24_IMG_7525.JPG
