split,filename,image_path,plaque_path,xmin,ymin,xmax,ymax,texte_ocr,confiance_ocr,lettres,chiffres,symboles,n_lettres,n_chiffres,n_symboles,longueur,categorie,raison
train,CarLongPlateGen3800_jpg.rf.533572fa43d164a44d164818d23ddd46.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3800_jpg.rf.533572fa43d164a44d164818d23ddd46.jpg,data/processed/plates_cropped\train_28_CarLongPlateGen3800_jpg.rf.533572fa43d164a44d164818d23ddd46.jpg,94,93,211,146,61E.984466,0.2647,E,61984466,.,1,8,1,10,DOUTEUSE,confiance_moyenne
train,CarLongPlateGen3895_jpg.rf.204516fb959fa0d7db4cc30f6316d119.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3895_jpg.rf.204516fb959fa0d7db4cc30f6316d119.jpg,data/processed/plates_cropped\train_29_CarLongPlateGen3895_jpg.rf.204516fb959fa0d7db4cc30f6316d119.jpg,211,195,315,245,F 984 60,0.4955,F,98460,  ,1,5,2,8,DOUTEUSE,confiance_moyenne
train,CarLongPlateGen3846_jpg.rf.88e28b142dc2e5d041f194185a6a5cfa.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3846_jpg.rf.88e28b142dc2e5d041f194185a6a5cfa.jpg,data/processed/plates_cropped\train_30_CarLongPlateGen3846_jpg.rf.88e28b142dc2e5d041f194185a6a5cfa.jpg,125,205,231,245,61A.22915G,0.4695,AG,6122915,.,2,7,1,10,DOUTEUSE,confiance_moyenne
train,Cars119_png_jpg.rf.638b3e07f32ad54564c634eb1e1cc53d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars119_png_jpg.rf.638b3e07f32ad54564c634eb1e1cc53d.jpg,data/processed/plates_cropped\train_31_Cars119_png_jpg.rf.638b3e07f32ad54564c634eb1e1cc53d.jpg,186,139,216,152,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,Cars122_png_jpg.rf.5578e2a014faef769739d6d814d60656.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars122_png_jpg.rf.5578e2a014faef769739d6d814d60656.jpg,data/processed/plates_cropped\train_32_Cars122_png_jpg.rf.5578e2a014faef769739d6d814d60656.jpg,194,146,253,168,MANISA,0.7441,MANISA,,,6,0,0,6,DOUTEUSE,aucun_chiffre
train,CarLongPlateGen3787_jpg.rf.ab704338300805ce5aff57292d98f99c.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3787_jpg.rf.ab704338300805ce5aff57292d98f99c.jpg,data/processed/plates_cropped\train_33_CarLongPlateGen3787_jpg.rf.ab704338300805ce5aff57292d98f99c.jpg,260,218,343,243,E1FF-692.59,0.6193,EFF,169259,-.,3,6,2,11,CONFORME,format_valide
train,CarLongPlateGen3859_jpg.rf.1979f331e60e067d59c93d68eed1123e.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3859_jpg.rf.1979f331e60e067d59c93d68eed1123e.jpg,data/processed/plates_cropped\train_34_CarLongPlateGen3859_jpg.rf.1979f331e60e067d59c93d68eed1123e.jpg,228,121,318,183,74614,0.3094,,74614,,0,5,0,5,DOUTEUSE,aucune_lettre
train,Cars124_png_jpg.rf.4c0cec7d03c0f8d7230a99228effaf75.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars124_png_jpg.rf.4c0cec7d03c0f8d7230a99228effaf75.jpg,data/processed/plates_cropped\train_35_Cars124_png_jpg.rf.4c0cec7d03c0f8d7230a99228effaf75.jpg,304,255,319,266,04,0.0583,,04,,0,2,0,2,ILLISIBLE,confiance_trop_faible
train,cropquandoi90_jpg.rf.41c02cf78a6249fdee1715d94a71e22e.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\cropquandoi90_jpg.rf.41c02cf78a6249fdee1715d94a71e22e.jpg,data/processed/plates_cropped\train_36_cropquandoi90_jpg.rf.41c02cf78a6249fdee1715d94a71e22e.jpg,348,298,391,315,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,pic_066_jpg.rf.21f34bde7d675bca2a535ff5dcbe0390.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\pic_066_jpg.rf.21f34bde7d675bca2a535ff5dcbe0390.jpg,data/processed/plates_cropped\train_37_pic_066_jpg.rf.21f34bde7d675bca2a535ff5dcbe0390.jpg,889,473,1084,563,WF56,0.3749,WF,56,,2,2,0,4,DOUTEUSE,confiance_moyenne
train,CarLongPlateGen3803_jpg.rf.33afdf0f73e0e4268de16fcc7e9170f7.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3803_jpg.rf.33afdf0f73e0e4268de16fcc7e9170f7.jpg,data/processed/plates_cropped\train_38_CarLongPlateGen3803_jpg.rf.33afdf0f73e0e4268de16fcc7e9170f7.jpg,207,256,288,301,12,0.194,,12,,0,2,0,2,ILLISIBLE,confiance_trop_faible
train,CarLongPlateGen2213_jpg.rf.66b6d16617bdd13366cb2e63eec4ae40.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen2213_jpg.rf.66b6d16617bdd13366cb2e63eec4ae40.jpg,data/processed/plates_cropped\train_39_CarLongPlateGen2213_jpg.rf.66b6d16617bdd13366cb2e63eec4ae40.jpg,275,222,365,248,61642971,0.825,,61642971,,0,8,0,8,DOUTEUSE,aucune_lettre
train,CarLongPlateGen3847_jpg.rf.83367c4b712d20bbdf7d9072dd4006b2.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3847_jpg.rf.83367c4b712d20bbdf7d9072dd4006b2.jpg,data/processed/plates_cropped\train_40_CarLongPlateGen3847_jpg.rf.83367c4b712d20bbdf7d9072dd4006b2.jpg,197,161,297,199,6IA.2295G,0.2354,IAG,62295,.,3,5,1,9,ILLISIBLE,confiance_trop_faible
train,CarLongPlateGen125_jpg.rf.92eefd0b7aaf0f47a9d3f1beb68575c7.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen125_jpg.rf.92eefd0b7aaf0f47a9d3f1beb68575c7.jpg,data/processed/plates_cropped\train_41_CarLongPlateGen125_jpg.rf.92eefd0b7aaf0f47a9d3f1beb68575c7.jpg,259,211,312,223,SUDL,0.0664,SUDL,,,4,0,0,4,ILLISIBLE,confiance_trop_faible
train,Cars112_png_jpg.rf.60b484b14417133f099dde7324fd7b8c.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars112_png_jpg.rf.60b484b14417133f099dde7324fd7b8c.jpg,data/processed/plates_cropped\train_42_Cars112_png_jpg.rf.60b484b14417133f099dde7324fd7b8c.jpg,48,134,163,190,SHAKNBK,0.593,SHAKNBK,,,7,0,0,7,DOUTEUSE,aucun_chiffre
train,CarLongPlateGen3004_jpg.rf.050465c139d5dbd6c3faf477bf44a252.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3004_jpg.rf.050465c139d5dbd6c3faf477bf44a252.jpg,data/processed/plates_cropped\train_43_CarLongPlateGen3004_jpg.rf.050465c139d5dbd6c3faf477bf44a252.jpg,136,53,248,96,6C31691,0.5714,C,631691,,1,6,0,7,CONFORME,format_valide
train,cropquandoi85_jpg.rf.8fd9515c6bdda8e3b9e5b70e1d299b3d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\cropquandoi85_jpg.rf.8fd9515c6bdda8e3b9e5b70e1d299b3d.jpg,data/processed/plates_cropped\train_44_cropquandoi85_jpg.rf.8fd9515c6bdda8e3b9e5b70e1d299b3d.jpg,168,356,197,382,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,CarLongPlateGen1460_jpg.rf.661733c6b8e0497c07a4fbd879f26076.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen1460_jpg.rf.661733c6b8e0497c07a4fbd879f26076.jpg,data/processed/plates_cropped\train_45_CarLongPlateGen1460_jpg.rf.661733c6b8e0497c07a4fbd879f26076.jpg,130,61,225,87,610-21748,0.5204,,61021748,-,0,8,1,9,DOUTEUSE,aucune_lettre
train,CarLongPlateGen3006_jpg.rf.69762b6b5e0740ce794eb54b71e9da46.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3006_jpg.rf.69762b6b5e0740ce794eb54b71e9da46.jpg,data/processed/plates_cropped\train_46_CarLongPlateGen3006_jpg.rf.69762b6b5e0740ce794eb54b71e9da46.jpg,161,109,280,173,661G31697,0.5955,G,66131697,,1,8,0,9,CONFORME,format_valide
train,xemay439_jpg.rf.127091d474a898c7fe2289ff1fa1ba71.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\xemay439_jpg.rf.127091d474a898c7fe2289ff1fa1ba71.jpg,data/processed/plates_cropped\train_47_xemay439_jpg.rf.127091d474a898c7fe2289ff1fa1ba71.jpg,142,86,226,163,125.50,0.4318,,12550,.,0,5,1,6,DOUTEUSE,aucune_lettre
train,xemay430_jpg.rf.3fa4c8d708de00353043f48b5ec2d382.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\xemay430_jpg.rf.3fa4c8d708de00353043f48b5ec2d382.jpg,data/processed/plates_cropped\train_48_xemay430_jpg.rf.3fa4c8d708de00353043f48b5ec2d382.jpg,225,157,303,224,123567,0.6864,,123567,,0,6,0,6,DOUTEUSE,aucune_lettre
train,xemay423_jpg.rf.d727f1f4c2d4e63d9e178f37494dc561.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\xemay423_jpg.rf.d727f1f4c2d4e63d9e178f37494dc561.jpg,data/processed/plates_cropped\train_49_xemay423_jpg.rf.d727f1f4c2d4e63d9e178f37494dc561.jpg,187,99,256,161,171.57,0.5829,,17157,.,0,5,1,6,DOUTEUSE,aucune_lettre
test,CarLongPlateGen1398_jpg.rf.621f63c834b8d9f792034ec4b7cc3bf2.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1398_jpg.rf.621f63c834b8d9f792034ec4b7cc3bf2.jpg,data/processed/plates_cropped\test_0_CarLongPlateGen1398_jpg.rf.621f63c834b8d9f792034ec4b7cc3bf2.jpg,242,206,336,233,61486325,0.3924,,61486325,,0,8,0,8,DOUTEUSE,aucune_lettre
test,CarLongPlateGen1478_jpg.rf.0f059c716a8985f7a9580c69c1f4fdc3.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1478_jpg.rf.0f059c716a8985f7a9580c69c1f4fdc3.jpg,data/processed/plates_cropped\test_1_CarLongPlateGen1478_jpg.rf.0f059c716a8985f7a9580c69c1f4fdc3.jpg,141,181,241,256,59-U1,0.6072,U,591,-,1,3,1,5,CONFORME,format_valide
test,xemay1982_jpg.rf.aad83d30440aed61a12980bd01254ee2.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1982_jpg.rf.aad83d30440aed61a12980bd01254ee2.jpg,data/processed/plates_cropped\test_2_xemay1982_jpg.rf.aad83d30440aed61a12980bd01254ee2.jpg,222,121,270,154,201 4,0.3991,,2014, ,0,4,1,5,DOUTEUSE,aucune_lettre
test,CarLongPlateGen3014_jpg.rf.c1cc580ec977dd8aa3d846b5a7db8e34.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen3014_jpg.rf.c1cc580ec977dd8aa3d846b5a7db8e34.jpg,data/processed/plates_cropped\test_3_CarLongPlateGen3014_jpg.rf.c1cc580ec977dd8aa3d846b5a7db8e34.jpg,205,74,306,134,604.359.84,0.347,,60435984,..,0,8,2,10,DOUTEUSE,aucune_lettre
test,CarLongPlateGen2150_jpg.rf.303fb8383ec08211eb86588af003bc73.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen2150_jpg.rf.303fb8383ec08211eb86588af003bc73.jpg,data/processed/plates_cropped\test_4_CarLongPlateGen2150_jpg.rf.303fb8383ec08211eb86588af003bc73.jpg,123,243,257,284,610.37675,0.8007,,61037675,.,0,8,1,9,DOUTEUSE,aucune_lettre
test,xemay1001_jpg.rf.5022b0782e96e189617eb77299dfe6d6.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1001_jpg.rf.5022b0782e96e189617eb77299dfe6d6.jpg,data/processed/plates_cropped\test_5_xemay1001_jpg.rf.5022b0782e96e189617eb77299dfe6d6.jpg,167,84,253,158,62 H5,0.531,H,625, ,1,3,1,5,CONFORME,format_valide
test,CarLongPlateGen1540_jpg.rf.1528969eb5beb9362942fd0306c94ffd.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1540_jpg.rf.1528969eb5beb9362942fd0306c94ffd.jpg,data/processed/plates_cropped\test_6_CarLongPlateGen1540_jpg.rf.1528969eb5beb9362942fd0306c94ffd.jpg,261,211,364,248,61207278,0.2249,,61207278,,0,8,0,8,ILLISIBLE,confiance_trop_faible
test,xemay1860_jpg.rf.05689a862e80bd24cf63b0ebdf752114.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\xemay1860_jpg.rf.05689a862e80bd24cf63b0ebdf752114.jpg,data/processed/plates_cropped\test_7_xemay1860_jpg.rf.05689a862e80bd24cf63b0ebdf752114.jpg,213,144,256,176,49499,0.509,,49499,,0,5,0,5,DOUTEUSE,aucune_lettre
test,589222_jpg.rf.fce45ff8d9d6e21e30e5d18acea52b3a.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\589222_jpg.rf.fce45ff8d9d6e21e30e5d18acea52b3a.jpg,data/processed/plates_cropped\test_8_589222_jpg.rf.fce45ff8d9d6e21e30e5d18acea52b3a.jpg,125,245,163,271,589222 _,0.9775,,589222, _,0,6,2,8,DOUTEUSE,aucune_lettre
test,CarLongPlateGen1430_jpg.rf.c96f608366975d00004e6442f4ae8d94.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\CarLongPlateGen1430_jpg.rf.c96f608366975d00004e6442f4ae8d94.jpg,data/processed/plates_cropped\test_9_CarLongPlateGen1430_jpg.rf.c96f608366975d00004e6442f4ae8d94.jpg,157,122,265,156,6FF.88270,0.5154,FF,688270,.,2,6,1,9,CONFORME,format_valide
test,Cars194_png_jpg.rf.16732a270d29b9d75f004966f6f07431.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars194_png_jpg.rf.16732a270d29b9d75f004966f6f07431.jpg,data/processed/plates_cropped\test_10_Cars194_png_jpg.rf.16732a270d29b9d75f004966f6f07431.jpg,266,169,315,182,TNCOU,0.1029,TNCOU,,,5,0,0,5,ILLISIBLE,confiance_trop_faible
test,Cars125_png_jpg.rf.f9f339c67e04309c1214267a171ea546.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\test\Cars125_png_jpg.rf.f9f339c67e04309c1214267a171ea546.jpg,data/processed/plates_cropped\test_11_Cars125_png_jpg.rf.f9f339c67e04309c1214267a171ea546.jpg,279,195,354,256,66887,0.5002,,66887,,0,5,0,5,DOUTEUSE,aucune_lettre
